event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
exerelin_diplomacy,celebrity_wedding_jilted,,,news,$otherFaction groom jilts $faction bride,$market tabloids are abuzz with the news of a prominent $otherFaction figure who abandoned his $faction bride at the altar. The woman's influential family - and large segments of the public - are outraged.,"Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,Also as seen in Civilization IV
exerelin_diplomacy,political_funding_uncovered,,,news,$otherFaction political manipulation against $faction exposed,$faction officials have accused $theOtherFaction of funding opposition groups on $market. The resulting dispute has soured relations between the two factions.,"Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,xenophobia,,,news,Wave of anti-$otherFaction sentiment in $faction,"A sharp increase in hostility to $theOtherFaction on $market has been observed. $otherFaction citizens are being harassed and even assaulted on the streets, with authorities slow to respond.","Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,extradition_refused,,,news,$faction harbors $otherFaction criminal,"$faction authorities are refusing to turn over an escaped $otherFaction criminal on $market, despite official protests through diplomatic channels.","Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,"channel = news to keep it with the same icon as the others, until an icon for all is found"
exerelin_diplomacy,spy_ring_uncovered,,,news,$otherFaction spy ring uncovered by $faction,"Rumors have surfaced that $faction counter-intelligence has broken up a spy ring operated by $theOtherFaction. Although official figures remain silent on the matter, it's clear that diplomatic relations are suffering.","Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,sabotage_uncovered,,,news,$faction thwarts $otherFaction sabotage attempt,$faction officials announce the arrest of an attempted $otherFaction saboteur on $market. The $otherFaction leadership denies any involvement.,"Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,support_rebels,,,news,$otherFaction sponsors $faction rebels,"Authorities have accused $theOtherFaction of sponsoring anti-$faction rebels on $market, and threatened retaliation.","Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,diplomat_crimes,,,news,$otherFaction envoy heads crime ring in $faction territory,"Police on $market have broken up a crime syndicate operated by a $otherFaction envoy. While $theOtherFaction have disavowed the diplomat's actions, relations with $theFaction have nevertheless cooled.","Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,privateering,,,news,$faction accuses $otherFaction of privateering,$theFaction has accused $theOtherFaction of sponsoring privateers to attack its shipping. A formal military response has been considered.,"Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,shots_fired,,,news,Shots fired between $faction and $otherFaction,"Unconfirmed news reports have arrived of a shootout between forces of $theFaction and $theOtherFaction near $market. As of the time of writing, a state of war exists between the two factions.","Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
#faction-specific,,,,,,,,,,,,
exerelin_diplomacy,religious_expansion,,,news,$otherFaction spreads faith among $faction,$otherFaction missionaries are spreading their religion amongst the people of $market. This has created a common bond with $theFaction.,"Relations between $faction and $otherFaction improved by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,persecution_minority,,,news,$otherFaction adherents persecuted by $faction,"$otherFaction adherents on $market are facing social and state penalties for their faith, ranging from ostracism to beatings and confiscation of property. This has greatly angered $otherFaction believers elsewhere.","Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,persecution_majority,,,news,$faction authorities crack down on $otherFaction heathens,"$otherFaction figures have condemned the actions of $theFaction in suppressing ""heresy"" on $market, describing as ""persecution"" and ""inquisition"" such acts as forced conversions and false criminal accusations against $otherFaction non-believers.","Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,priest_scandal,,,news,$otherFaction clergy in $faction in scandal,An $otherFaction clergyman on $market has been charged with embezzlement of church funds and various sexual offences. Opinion polls show a marked decrease in respect for $theOtherFaction among $faction citizens.,"Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,dissident_treatment,,,news,$otherFaction condemns $faction suppression of dissidents,"$otherFaction officials and commentators have harshly criticized the actions of $faction authorities, who have arrested and beaten scores of dissidents and activists on $market.","Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,anti_corporation,,,news,$otherFaction targeted by $faction anti-corporate movement,"$theOtherFaction is in the crosshairs of a populist anti-corporate movement on $market, which sees it as an oppressive, exploitative entity. Movement leaders are pressing $faction authorities to crack down on $theOtherFaction's various crimes.","Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
exerelin_diplomacy,tech_stolen,,,news,$faction accuses $otherFaction of stealing tech,A major $faction R&D facility on $market reports the theft of large amounts of advanced technology and related data. $theOtherFaction is denying accusations of responsibility for the attack.,"Relations between $faction and $otherFaction reduced by $deltaAbs, currently at $newRelationStr.",,,,,
